,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
696,6.32958126068115,8.89140224456787,0.866397082805634,59.2599983215332,0.627586960792542,0.135011523962021,0.809742629528046,0.789606928825378,0.224379733204842,0.299441605806351,0,pink
697,6.41449451446533,8.90453243255615,0.865605473518372,59.5400009155273,0.630151748657227,0.204702258110046,0.796285450458527,0.80028361082077,0.233636200428009,0.322260081768036,0,pink
698,6.45191621780396,8.89047908782959,0.833815634250641,59.8199996948242,0.643478751182556,0.195775762200356,0.754889369010925,0.813852190971375,0.239741578698158,0.339307934045792,0,pink
699,6.28974866867065,8.90054702758789,0.85905247926712,60.0999984741211,0.695862948894501,0.16544571518898,0.794835388660431,0.804730653762817,0.23561792075634,0.340046316385269,0,pink
700,5.74335384368896,8.9231481552124,0.768112421035767,60.3800010681152,0.762963116168976,0.0080707622691988,0.863039374351501,0.791875600814819,0.289357900619507,0.355844259262085,0,pink
701,5.85571718215942,8.9346866607666,0.802148997783661,60.6599998474121,0.865472018718719,0.0194490533322096,0.820923984050751,0.808444261550903,0.349404960870743,0.502455830574036,0,pink
702,5.98460149765015,8.95339679718018,0.829650402069092,60.939998626709,0.884005010128021,0.0440901182591915,0.81676983833313,0.822216987609863,0.33252426981926,0.467045605182648,0,pink
703,6.53603076934814,8.97958946228027,0.833974659442902,61.2200012207031,0.843398928642273,0.106659837067127,0.804462552070618,0.815518975257874,0.305114686489105,0.373200327157974,0,pink
704,6.46498680114746,9.00278186798096,0.822837471961975,61.5,0.868639767169952,0.0504094809293747,0.821654915809631,0.826123118400574,0.310553789138794,0.272380828857422,0,pink
705,6.35891628265381,9.01262664794922,0.81123548746109,61.7000007629395,0.862675726413727,0.0105657046660781,0.812030017375946,0.815476715564728,0.321357190608978,0.4689621925354,0,pink
706,6.32511854171753,9.02668380737305,0.826492071151733,61.9000015258789,0.91452169418335,-0.0594800226390362,0.799747884273529,0.81883978843689,0.308086156845093,0.458623856306076,0,pink
707,6.62659168243408,9.04336071014404,0.841107249259949,62.0999984741211,0.90953803062439,-0.0111028719693422,0.765454411506653,0.827421426773071,0.262411266565323,0.457064419984818,0,pink
